% Station Østerås, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  1.4178E+03	  1.4452E+03	  3.8810E+03	  1.6738E+06	  2.2195E+03	  2.4426E+02	  7.4654E+02	  3.4059E+01	  2.8818E+04	  4.2248E+06	  5.7745E+01	0.000
1995	2	  4.6497E+03	  4.7261E+03	  1.8088E+04	  4.6987E+06	  7.8849E+03	  8.6617E+02	  3.2086E+03	  1.2754E+02	  8.1739E+04	  1.2250E+07	  1.6967E+02	0.000
1995	3	  1.3825E+04	  1.4005E+04	  7.4116E+04	  1.1302E+07	  2.5764E+04	  3.2310E+03	  1.3594E+04	  4.3518E+02	  1.9801E+05	  3.0126E+07	  4.1836E+02	0.000
1995	4	  3.0180E+04	  3.0493E+04	  1.9255E+05	  1.9908E+07	  6.0304E+04	  8.9173E+03	  3.8063E+04	  1.0461E+03	  3.5398E+05	  5.3773E+07	  7.4808E+02	0.000
1995	5	  5.1829E+04	  5.2264E+04	  3.6013E+05	  2.7801E+07	  1.0851E+05	  1.8784E+04	  7.7005E+04	  1.9160E+03	  5.0722E+05	  7.4734E+07	  1.0392E+03	0.000
1995	6	  6.6122E+04	  6.6603E+04	  4.7305E+05	  3.0760E+07	  1.4162E+05	  2.7257E+04	  1.0671E+05	  2.5291E+03	  5.7435E+05	  8.2099E+07	  1.1410E+03	0.000
1995	7	  7.9734E+04	  8.0287E+04	  5.7459E+05	  3.5419E+07	  1.7186E+05	  3.4147E+04	  1.3170E+05	  3.0804E+03	  6.6646E+05	  9.4751E+07	  1.3184E+03	0.000
1995	8	  6.4213E+04	  6.4685E+04	  4.5965E+05	  3.0247E+07	  1.3739E+05	  2.6140E+04	  1.0306E+05	  2.4499E+03	  5.6301E+05	  8.1990E+07	  1.1448E+03	0.000
1995	9	  2.2156E+04	  2.2355E+04	  1.5059E+05	  1.2694E+07	  4.5801E+04	  7.5893E+03	  3.1493E+04	  8.0392E+02	  2.2934E+05	  3.5203E+07	  4.9449E+02	0.000
1995	10	  1.5776E+03	  1.6106E+03	  5.1090E+03	  8.2081E+05	  3.0592E+03	  1.1546E+03	  2.3988E+03	  5.9193E+01	  1.4977E+04	  2.8619E+06	  4.2908E+01	0.866
1995	11	  3.2248E+03	  3.2877E+03	  1.8155E+04	  2.6832E+06	  6.0840E+03	  7.8960E+02	  3.5036E+03	  1.0122E+02	  4.6936E+04	  6.5289E+06	  8.6129E+01	1.000
